name,address,wifi
沖縄しゃぶしゃぶ もとぶ美ら海店 ,沖縄県国頭郡本部町浜元335-1 浜元ワンダーランド２階,なし
韓国大衆居酒屋 ムハン,沖縄県沖縄市園田１-15-26山根ビル3F,あり
Resort Dining Poco a Poco 読谷店,沖縄県中頭郡読谷村波平2142-1,なし
琉球酒場 げん 市ヶ谷店,東京都千代田区五番町4-2　東プレビルB1,あり
芋んちゅ 東岡崎店,愛知県岡崎市明大寺本町４－１８,なし
琉球たれ焼肉 しゃぶしゃぶ おきなわ苑,沖縄県那覇市牧志１－３－５８,未確認
島唄ライブおばぁの家 海音 みおん,沖縄県那覇市牧志１-3-58  B1F,あり
琉球坊主 立川北口店,東京都立川市緑町4-5　コトブキヤビル１F　104,あり
ちゅらり 横浜店,神奈川県横浜市西区南幸１－１２－８　ＴＫ横浜西口ビルＢ１Ｆ,あり
沖縄ダイニング 琉歌 沖縄本店,沖縄県那覇市久茂地３-13-16,あり
沖縄ダイニング 琉歌 大宮,埼玉県さいたま市大宮区宮町１-47　一番ビル2F,あり
島唄ライブ居酒屋 結歌,沖縄県那覇市牧志１-2-1　花ビル3F,あり
アグー豚のしゃぶしゃぶと島刺し盛り まーさんの家,沖縄県那覇市松尾１－３－１　エスプリコート　B１階,なし
ニライカナイ 八王子本家 しましま,東京都八王子市旭町１０－１１,あり
Dining Bar ASADO ダイニングバー アサード,福岡県福岡市中央区大名１－１３－１４　２F,なし
ニライカナイ うぶや,東京都八王子市三崎町2-13,あり
和琉炭焼 石庭,沖縄県那覇市松山２－１－１８　住太郎ビル２F,なし
南ぬ ぱいぬ ニライカナイ 吉祥寺店,東京都武蔵野市吉祥寺南町１－１７－１－Ｂ１Ｆ　,あり
炭火焼きジンギスカン 羊蹄山,沖縄県那覇市牧志１-3-11　花笠楼ビル１Ｆ,あり
ステーキダイニング88 松尾店,沖縄県那覇市松尾２－５－１　松尾１２４区ビル２階,あり
沖縄ダイニング 琉歌 りゅうか 上野本館,東京都台東区上野４-8-10　第3 ＳＥＩＫＡ　ＢＬＤ123,なし
鰓呼吸 名護店,沖縄県名護市宮里３-29-12 フェニックスパークホテル1F,あり
あぐーしゃぶしゃぶ 大輝,沖縄県那覇市牧志１丁目1-25　１F,なし
炉端焼き　ちどり　松山店,沖縄県那覇市松山１丁目6番地3,あり
ニライカナイ ぱなり 立川南口駅前店,東京都立川市柴崎町３丁目4-17　地下1階,あり
遊楽横丁,沖縄県那覇市牧志３丁目5-10,あり
沖縄居酒屋 昭和村,沖縄県那覇市牧志３-1-20　2階,あり
沖縄地料理 あんがま 国際通り店,沖縄県那覇市松尾１-2-2,あり
島人の宝,北海道札幌市中央区北３条西２カミヤマビルB1 ,未確認
ステーキ&グリル パイレーツ,沖縄県那覇市牧志２－６－２　PIER88ビル　２F,あり
わらゆい 国際通り,沖縄県那覇市牧志２-3-1-2F,あり
Blanc de Blanc ブラン ド ブラン,沖縄県那覇市久米２-19-1 1F,未確認
民謡ステージ歌姫,沖縄県那覇市牧志１－２－３１ハイサイおきなわビルB１F,あり
免許皆伝酒場 久茂地店,沖縄県那覇市久茂地２丁目　４－１６　山内ビル１階,あり
ガジュマルカフェ,沖縄県沖縄市上地２-9-3 1階,あり
しゃぶしゃぶ肉割烹 にく久 名護店,沖縄県名護市宮里７－２３－２５　ＪＵＮテナント２Ｆ,未確認
安波茶 HIROMARU,沖縄県浦添市安波茶１-31-1　伊波ビル102,なし
Poco a Poco 久茂地店,沖縄県那覇市久茂地３-13-1　２F ,あり
PAIKAJI TERRACE パイカジ テラス,東京都立川市柴崎町３-4-2IZAI1-A,あり
沖縄料理 居酒や こだま,東京都江戸川区南小岩７－２７－１６　桂昇南小岩ビル２F,あり
琉球ぼうず 上北台店,東京都東大和市蔵敷３-９０７-１,あり
居酒家 ぶらんこ,沖縄県宜野湾市愛知１‐5‐13,あり
泡盛と沖縄地料理 龍泉 ラゾーナ川崎店,神奈川県川崎市幸区堀川町７２‐１　ラゾーナ川崎プラザ４Ｆ,なし
野菜巻串屋 ぐるり 泡瀬店,沖縄県沖縄市泡瀬４－２１－１７,なし
韓国食堂ポックン 那覇店,沖縄県那覇市牧志３-３-２１,あり
海人 うみんちゅ 田無店,東京都西東京市田無町３‐１‐２　１Ｆ,未確認
温野菜 宜野湾店,沖縄県宜野湾市愛知１－５－３,なし
バルコラボ 肉バル 沖国大前店,沖縄県宜野湾市宜野湾３-1-23 1F,未確認
Mancher Kitchen マンチャーキッチン 飯田橋店,東京都千代田区富士見２－９－１１,あり
島人の宝 北7店,北海道札幌市東区北７条東３　1番地,未確認
居酒屋 鬼さん 久茂地店,沖縄県那覇市久茂地３-１２-４　ラフテビルB1,未確認
地酒と炙りの 火人粋,沖縄県那覇市久茂地３－１２－１８,あり
琉球キッチン 東屋慶名 蒲田店,東京都大田区蒲田５－6－12岩下ビル1階,なし
ジャングルダイニング Peace Rock Cafe,沖縄県那覇市牧志２－３－２０　アーバンコア２０２,あり
琉宮ダイニング 亀千人 久茂地店,沖縄県那覇市久茂地３-12-1第一久茂地ビル3F,なし
島唄ライブおばぁの家 海音 別邸,沖縄県那覇市牧志１-3-59シーサーイン那覇B1,あり
バルコラボ MEAT&PIZZA 那覇天久店,沖縄県那覇市天久２-2-5 ファミール天久1F,あり
COBY 那覇 久茂地店,沖縄県那覇市久茂地３－９－７　パーム久茂地ビル１F,あり
Bartender's cafe Vigorous バーテンダーズ カフェ ヴィゴラス,沖縄県那覇市牧志１－20－13　SO牧志ビル2・3F,なし
コラボキッチン ライカム店,沖縄県中頭郡中城村ライカム1番地,なし
かふぅ 名嘉真本店,沖縄県国頭郡恩納村名嘉真２２１７ー１　大道アパート２F,あり
地酒と漁火の火人粋,沖縄県那覇市泉崎２-4-2,あり
鰓呼吸 石垣島,沖縄県石垣市美崎町7-14 ホテルエメラルドアイル1F,あり
63cafe　Naha,沖縄県那覇市辻３-2-1　コスタビレッジエスパーナ2階,あり
島料理居酒屋 とんでみーな,沖縄県石垣市大川240-1 南 砂川店舗,あり
島人酒場 もぅあしび～,沖縄県那覇市久茂地２-12-24,なし
旨いもの台所 南風 中城店,沖縄県中頭郡中城村字登又78,未確認
日本酒×串焼き 亜炉麻 aroma,沖縄県那覇市おもろまち４-9-10　ブギービル２F,あり
海鮮 和牛居酒屋 強者 久茂地店,沖縄県那覇市久茂地２-12-1,あり
野菜巻串屋 ぐるり 国際通り店,沖縄県那覇市久茂地３-9-6,あり
金武アグーと山城牛のしゃぶしゃぶ 琉球 別邸,沖縄県那覇市牧志１/3番56号ルシェンテビル1階,あり
炉端の火人粋 奥武山店,沖縄県那覇市小禄320-2 プランビル小禄101,あり
ホルモンここから　美栄橋店,沖縄県那覇市久茂地２-24-20,なし
外食家 くじら 北中城店,沖縄県中頭郡北中城村仲順443-1,あり
海人 成増店,東京都板橋区成増２‐１７‐２２　五曠第７ビル３Ｆ,未確認
ちょこっと寿し 国際通り牧志店,沖縄県那覇市牧志２-7-24 セゾン宝ビル2F,なし
沖縄の台所 ぱいかじ デイゴ別邸,沖縄県国頭郡恩納村冨着760-1,あり
HOTEL SANSUI NAHA 琉球温泉 波之上の湯 ビアフェス ,沖縄県那覇市辻２-25-1 ,あり
マンチーズ,沖縄県那覇市安里１－１－５８　光生ビル２F,あり
三線LIVEと島体験の店 SUPER STAR,沖縄県宮古島市平良西里7 ホテル共和別館2階,あり
沖縄スージグァ酒場 香の帆,東京都渋谷区宇田川町10-1 パークビル5F,あり
肉割烹 にく久,沖縄県那覇市久茂地３-12-1 第一久茂地ビル1F,未確認
ぱいかじ 国際通り久茂地店,沖縄県那覇市久茂地３－２９－６８－２Ｆ,あり
野菜巻串屋 ぐるり 本店,沖縄県那覇市牧志１-13-9 仲里ビル１Ｆ,あり
おもろ殿内 おもろどぅんち,沖縄県那覇市安謝１－２－３,なし
鰓呼吸 那覇久茂地店,沖縄県那覇市久茂地２-6-16,あり
沖縄食堂じまんや,沖縄県那覇市牧志２－１７－４６,あり
鰓呼吸 宮古島店,沖縄県宮古島市平良西里300-3,あり
居酒屋野郎 りょう次,沖縄県那覇市久茂地２－１８－１８,なし
カジュアルスペイン酒場 オレンジ ブーム Bayside kitchen ORANGE BOOM,沖縄県中頭郡北谷町美浜51-3　フェリシダーデ内 1F,あり
kitchen キッチン 084 ohashi,沖縄県那覇市牧志３-5-19,あり
沖縄居酒屋 オリオン食堂 行徳店,千葉県市川市行徳駅前２－２３－６,なし
和風ダイニング 壺,沖縄県那覇市壺川２-5-6,未確認
炙る チェリチェリ,沖縄県那覇市久茂地３-8-19,あり
ふぁみりー居酒屋 だんらん,香川県高松市木太町３６２８ー１,未確認
ホルモンここから　那覇栄町店,沖縄県那覇市安里３-88-10,なし
あぐーの隠れ家 北谷店,沖縄県中頭郡北谷町美浜２‐２‐２,あり
バルコラボ 那覇新都心,沖縄県那覇市おもろまち４-6-17 おもろパークテラス　2F,あり
首里殿内 すいどぅんち,沖縄県那覇市首里金城町２－８１,未確認
海人 うみんちゅ 大山店,東京都板橋区大山東町21-9　2F,未確認
